Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Casa Encuentro - Pilates & Flex,"Mario Bravo 812, C1175 Cdad. Autónoma de Buenos Aires",Almagro,1136271990,,https://www.instagram.com/casaencuentro.ba/,1452,"5,0x24",,-,Básico,,"Hace 4 meses: Excelente. Las profes son puntuales, exactas, profesionales, innovan ejercicios clase a clase... Es todo lo que puedo desear de mi clase de Pilates! Gracias!",Se presenta como pilates fusión.,,"lunes, 6–9 p. m. martes, 8–10 a. m., 6–9 p. m. miércoles, 5–9 p. m. jueves, 8–10 a. m., 5:30–8:30 p. m. viernes, 4–8 p. m. sábado, 11 a. m.–1 p. m.","9HXM+WG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",16-09-25,,
Pilates Home,"Billinghurst 986, C1711 Cdad. Autónoma de Buenos Aires",Almagro,1123963847,,https://www.instagram.com/pilateshome_/?hl=es#,5502,"4,3x26",,Studio moderna,Básico. Colorido.,,"Editado Hace 2 meses: Comence este mes en pilates home, me encantan sus clases, los profes cambian de acuerdo al horario, tienen una app. Para aplicar a tus horarios, los cuales podes cambiar con 6 hs de anticipacion sin perder la clase, me gustaron mucho las clases tuve con Sol , Tami, y Fede. Para recomendar son puntuales y muy bien dictadas, estan bien ubicados, todo muy cute, los profes muy preparados and buena onda. Tienen sucursal en riobamba tb.",,,"Lunes a viernes, 8 a. m.–9 p. m. sábado, 10 a. m.–1 p. m.","CH2P+P3 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",16-09-25,Tiene dos sedes: Almagro y Recoleta.,
Espacio GUD Pilates,"Navarro 4952, C1419",Villa Devoto,54 011 15-5857-8197,,https://www.instagram.com/espaciogud,5518,"5,0x30",,-,"Tonalidades grises (pelotas), box color carne, matices verdes. En Instagram predomina colores pastel.",,"hace 5 días: Realmente excelente. Las Profesoras geniales, exigentes y respetuosas, muy profesionales.Hace 6 meses: Hermoso lugar! Las camas un 10 y las clases de Vero la rompen. Las profes re calidas Son clases bastante power. Hace un año: El lugar excelente, te sentis muy cómodo. La calidad y buena onda de las profes es ideal, super recomendable!!",,,"Lunes, 8 a. m.–1 p. m., 4–9 p.m. Martes, 8 a. m.–1 p. m., 3–9 p. m. Miércoles, 8 a. m.–1 p. m., 4–9 p.m. Jueves, 8 a. m.–1 p. m., 3–9 p. m. Viernes, 8–11 a. m., 4–8 p. m.","9FQH+VQ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",21-07-25,,
Pilates House Studio,"Bermúdez 3172, C1417",Villa Devoto,54 0111525303172,,https://www.instagram.com/pilateshousedevoto,1175,"4,5x23",https://linktr.ee/pilateshousestudio,-,"Tonalidades color rosa (pastel y brillante), pelota, aros, mat, deslizantes",Siguefit,"Hace un mes: Todo excelente! Empecé hace 3 meses y la verdad quiero destacar no solo a las profesoras sino también el lugar. Las máquinas están completas, limpias y todas con los elementos necesarios. Además que las clases son siempre muy dinámicas. Muy recomendable el lugar. Hace un mes: Pésimo trato, NO elijan este lugar. Hace 11 meses: El lugar es precioso… impecable y muy acogedor .. las profes un amor todas…Súper recomendable…","Nuestra propuesta se basa en brindarte una clase variada y dinámica cada día. Para ello incorporamos al reformer, otros equipos y disciplinas con el objetivo de trabajar tus habilidades de forma integral y que puedas desafiar tus capacidades gradualmente. Nuestras clases son multinivel y en grupos reducidos asi cada alumno/a puede ir a su ritmo.","Estudio de pilates fusión. Reformer, Mat, Circuito y Método Barre. Clases multinivel. Grupos reducidos","Lunes, 8 a. m.–12 p. m., 3–8 p. m. Martes, 8 a. m.–12 p. m., 4–8 p. m. Miércoles, 8 a. m.–12 p. m., 3–8 p. m. Jueves, 8 a. m.–12 p. m., 4–8 p. m.Viernes, 8 a. m.–12 p. m., 3–8 p. m. Sábado, 9 a. m.–1 p. m.",,,16-09-25,,
Studio AC_ Pilates Reformer,"Baigorria 5211, C1417",Villa Devoto,54 01169152420,,ttps://www.instagram.com/andy_pilates/,1362,"4,9x52",https://wa.link/blb5x4,,,,"Andrea es una profesora excelente, muy profesional y atenta!Las clases son personalizadas, las profes la tiene re clara.Hace poco que empecé, pero Andrea te hace sentir muy cómoda enseguida",,,"Lunes a Viernes, de 9:00 am a 8:00 pm",,,16-09-25,Técnica Radiología. UBA. Fisioterapeuta. Instructora de Pilates desde 2007. Directora del ACPilates. 2009.,
Estilo Devoto Pilates,"Devoto Plaza., Nueva York 4144 Local 27, C1419HDT",Villa Devoto,011 7369-3782,,,,,,,,,,,,,,,,,
G Pilates Studio,"Comuna 11, Av. Francisco Beiró 3420, C1419HYV Cdad. Autónoma de Buenos Aires",Villa Devoto,111540820626,,https://www.instagram.com/g.pilatesstudio?igsh=NzFycDdnZnY2ejV6,325,"5,0x3",,-,"Básico. Espacico pequeño, dos reformers,",,"Hace 2 meses: Empecé hace un mes. Jamás había hecho pilates, pero me encantó. El profe me motivo tanto que ahora además de pilates, sumé thermobike y funcional.Hace un mes:Mi lugar en el mundo ....!",,"Nueva incorporación: Sesiones de MASAJES. Descontracturantes, Relajantes, Maderoterapia, Drenaje Linfático manual. Con un THERMOBIKE",,,,,,
Sandra Martínez Auténtico Pilates,"Campana 3263, C1417 Cdad. Autónoma de Buenos Aires",Villa del parque,1169541701,auténtico pilates,https://www.instagram.com/sandramartinez.studio/?hl=es,12.3 mil ,"4,8x21",https://sandramartinezstudio.com/,-,"Tonos claros, color madera,",,"Hace 10 meses: 100% comercial, 0 orientación al cliente. Pésima experiencia. Me he ido con dolor de ciático y rodillas teniendo que cancelar las siguientes clases y no te permiten recuperar pendientes ni aún pasándote 2 días a menos que vuelvas apagar un abono que no podes tomar por falta de disponibilidad de tiempo. Hace 3 años: No solo las clases son excelentes sino que cada uno de les instructores que me tocaron fueron super respetuosos, atentos, creo que es de los mejores lugares adonde hice pilates. Muy recomendado",,,,,,,,
Fit Studio Pilates,"Av. Lope de Vega 2895, C1417 Cdad. Autónoma de Buenos Aires",Villa Devoto,1136922354,,https://instagram.com/fitstudio.devoto?igshid=YmMyMTA2M2Y=,1398,"5,0x14",,-,"Tonalidades negras, grises, y para identificativo - salmón claro",,"2 semanas atrás: Pase por varios sitios de pilates por Devoto, pero Anto hace la diferencia tiene una calidez única ,mucha paciencia y lo mejor mucho humor. Voy con mucho entusiasmos cada clase y no soy entusiasta del deporte. Un lugar que te desenchufa de la rutina y el caos. Hace 7 meses Excelente clima!! La profe es una genia, me tiene mucha paciencia porque soy principiante. Realmente da gusto ir!!","En FIT STUDIO se trabaja en grupos reducidos de un máximo de 4 personas .En cada clase se fusionan pilates reformer , aereo , streching y funcional. Adaptamos las clases a las características de cada persona.Se realizará una valoración inicial. (Clase de prueba ) En ella, se busca conocer el estado físico de la persona y las patologías previas, así como enseñar los principios básicos del método Pilates, a partir de los cuales poder progresar con seguridad y sin riesgo de lesión.",PILATES FUSIÓN,"De Lunes a Viernes, 9:00 am a 8:00 pm.",,,,,
Move Pilates Devoto,"Av. Francisco Beiró 4492, C1419HZT Cdad. Autónoma de Buenos Aires",Villa Devoto,1135111020,,https://www.instagram.com/movepilatesdevoto/?hl=es-la#,5072,,,-,"Tonalidades verdes, bordeau en camillas,box, pelotas grises y verdes. Diseño minimalista. Logo y lámparas naranja",,"Hace un mes: Muy mala experiencia. Cero profesionalismo de la profesora Emilse, cuando te equivocas en algún ejercicio lo dice de muy mala forma que lo estás haciendo mal. Tuve que dejar de ir, ya que cuando comenté lo sucedido, no hicieron nada. Mi madrina y prima el año dejaron de ir por esta misma profesora, se quejaron al igual que yo y ni se molestaron en que cambie esos modos que tiene. Una lastima! 4 semanas atrás: Lamentable experiencia tuvimos con mi hija, con la profesora Emilise, recibimos malos tratos de parte de ella reiteradamente en las clases y cuando hicimos el reclamo no recibimos ninguna rta más que darnos cuenta que en ese estudio son todos cómplices. Si quieren recibir un destrato pueden ir!! Hace 8 meses: Ambiente super calido, la Profe siempre atenta a como hacia los ejercicioa, me gusto el espacio amplio y cant de elementos para ejercitar para que no sea monótona !!","Únicos estudios de pilates en Devoto donde podes combinar clases. No tenes excusas, 12 clases por día en cada estudio: Beiro 4492 y Sanabria 2702. Te esperamos.",,"lunes, 8 a. m.–12 p. m., 1:30–10 p. m., martes, 8 a. m.–12 p. m., 2–10 p. m. miércoles, 8 a. m.–12 p. m., 1:30–2:30 p. m., 5–10 p. m. jueves, 8 a. m.–12 p. m., 2–10 p. m. viernes, 8 a. m.–12 p. m., 1:30–9 p. m. sábado, 9 a. m.–1 p. m.",,,17-07-25,"Tiene 4 Sucursales: Beiró y Sanabria. Avenida Francisco Beiro 4492 - Sanabria 2702, Villa Devoto, Buenos Aires, Argentina 1419. Belgrano, Urquiza",
Espacio Haya,"San Nicolás 4226, C1419AVR C1419AVR, Cdad. Autónoma de Buenos Aires",Villa Devoto,111564193491,,https://www.instagram.com/espaciohaya/#,297,,espaciohaya@gmail.com,-,"Ambiente naturalista. Tonalidades pastel verdes y madera el studio, rosa y azul Instagram.",Siguefit,"“Pilates, yoga y hasta baile — todo en un mismo lugar.Las camas son nuevas, el estudio súper moderno y lo mejor: ¡hasta podés bañarte después de entrenar!”",-,"Pilates Reformer y Mat, hasta Yoga terapéutico, Fit Barre, TRX y más, tenemos una opción ideal para vos.","lunes, 9 a. m.–12 p. m., 5–8 p. m. martes, 9 a. m.–12 p. m., 5–8 p. m. miércoles, 9 a. m.–12 p. m., 5–8 p. m. jueves, 9 a. m.–12 p. m., 5–8 p. m. viernes, 9 a. m.–12 p. m., 5–8 p. m.",,"Google maps, IG",17-07-25,Abrieron febrero de 2025,
Espacio TransforMar,"Habana 3567, C1419GQC Cdad. Autónoma de Buenos Aires",Villa Devoto,111566825166,,https://www.instagram.com/transformar_marpilates/#,1366,"4,4x42",,-,,,"“Destaco el sistema de turnos mediante la app, es muy fácil y práctico”. ""La mala onda que tienen para atender es increíble”. ""Las clases son increíbles, las profesoras atentas y dedicadas.""","Somos un estudio de Pilates con 25 años en la zona de Villa Devoto, comprometidos en ayudarte a mejorar tu bienestar, tonificar tu cuerpo y aumentar tu flexibilidad en un ambiente acogedor y profesional. Contamos con instructores certificados y clases personalizadas para todos los niveles.",PILATES SPRINGBOARD (No usamos camillas) YOGA Holístico,Lunes a viernes de 8:00 am a 8:00 pm. Sábados 10:00 a- 12:00,,,18-07-25,,
Inspiración Pilates Villa Devoto,"Tinogasta 5300, C1417 Cdad. Autónoma de Buenos Aires",Villa Devoto,1167441390,,https://www.instagram.com/inspiracionpilatesdevoto/,4953,"4,8x43",,-,En Ins color fucsia y blanco. En local combinan el negro con el bordeaux-rojo (box),,Excelente lugar para hacer 100% pilates. Andre es lo más! Super técnica y profesional sin perder la calidez y la amorosidad. Dedicada a cada una de sus alumnas para ayudarnos a mejorar y progresar.,"Una Experiencia de Transformación Total! Menos Pose, más Acción!Clases de Alto Rendimiento. Con Refo y Todos los Equipos del System.",,De lunes a viernes de 8 a. m.–8 p. m. Sábado de 8:00 am a1:00 pm.,-,"Google maps, IG",18-07-25,"Te prepara para entender el pilates: “Viste cuando escuchas ""Cerra las Costillas"" ""Baja la Cintura Escapular"", ""Acerca los Isquiones""😳 y vos pensas ... eso Se Hace o Se Come?Ya No Más! Desde el *Lunes 17 de Marzo* Arrancamos con Pilates desde las Bases*, Incluyendo lo Prepilates*, que son Ejercicios del repertorio para Organizar el Cuerpo, a los cuales le vamos *Incorporando por Etapas Semanales y Nivel de Dificultad*, todos los *Ejercicios Base* [los más desafiantes] del Refo, Mat y System [trabajas todos los equipos del método].",
Espacio Infinito Yoga y Pilates,"Simbrón 5178, C1417 Cdad. Autónoma de Buenos Aires",Villa Devoto,1132944985,,https://www.instagram.com/espacioinfinitoyogaypilates/,2895,"5,0x76",,-,El local básico. Colorido logo Instagram.,,"Hace un mes: Un espacio con una energía hermosa. La profe Guada una dulce, atenta siempre a las necesidades de cada alumna, te hace trabajar hasta las pestañas pero con una sonrisa en la cara. Empecé en Febrero y acá sigo, porque gusta =). Hace un mes: Hace 10 meses que asisto a las clases de Pilates con Guada, es una profe atenta a las necesidades de cada alumno, sus clases son dinámicas y divertidas. Yo me siento muy cómoda en Espacio Infinito",Pilates Funcional! Todo lo que necesitas en una sola clase,"Pilates Funcional -Yoga - Kurunta Columpio – Talleres, Clases Grupales y Personalizadas","lunes, 8:30 a. m.–7 p. m. martes, 8 a. m.8 p. m.miércoles, 8:30 a. m.–7 p. m. jueves, 8 a. m. 8 p. m.viernes, 8:30 a. m.–8 p. m.",-,"Google maps, IG",18-07-25,,
Alais Pilates,"Joaquín V. González 5094, C1674 Cdad. Autónoma de Buenos Aires",Villa Devoto,1155233540,,https://www.instagram.com/alai.pilates/,272,"5,0x8",,-,"Luces en el local azules, diseño básico. Instagram marco colorido.",,"Me encanta Alai ! Todas son súper atentas y te hacen sentir cómoda desde el primer día. Es un espacio muy acogedor, da ganas de ir y siempre salgo renovada , son súper atentas con cada alumna . Las profes son muy atentas, las clases dinámicas y hay buena onda siempre",,,"De Lunes a viernes de 8 a. m.–7 p. m. sábado, 9 a. m.–12 p. m., 4:30–7:30 p. m",,"Google maps, IG",18-07-25,,
Fullfit,"Av. Salvador María del Carril 2538, C1419 Cdad. Autónoma de Buenos Aires",Villa Pueyrredón,1149163337,,https://www.instagram.com/full.fit.ok/?hl=es-la#,"13,3 mil","4,7x91",https://fullfit.com.ar/,-,Tonalidades pastel en torno al rosa y al azul turquesa.,,"Full Fit es todo eso y más, un lugar con la mejor onda y entrenos increíbles. ¡Gracias por bancarnos siempre! Hace 5 meses.Está aumentando muy seguido y un 15% con una inflación de 3%. Cuando uno se va de vacaciones deberían respetar los horarios en vacaciones y solo liberarlos en las clases qué una avisa que no va a estar. Las profesoras son excelentes.","Luego de 19 años ininterrumpidos, gracias a la confianza y compañía de quienes nos siguen día tras día, en 2018 le dimos vida a “Full Fit”, embarcandonos en este proyecto familiar que es un sueño logrado después de mucho sacrificio, dedicación, búsqueda y perseverancia por el cual apostamos para seguir compartiendo y expandiendo nuestra pasión por la actividad física, la salud y el amor propio en un entorno de familia y amistad.","Pilates mat y reformer, método barre, yoga, fitness grupal","De Lunes a viernes de 8 a. m.–9 p. m. Sábado, 8 a. m.–1 p. m.",,"Página Web, google maps, instagram",19-07-25,Se presenta como un Gimnasio Boutique,
Muévelo Pilates,"Nogoyá 3668, C1417FNR Cdad. Autónoma de Buenos Aires",Villa del Parque,1154680756,,https://www.instagram.com/muevelo.pilates#,1816,"4,9x71",,,"Tonalidades en torno al azul intenso (pelotas) y el amarillo (paredes), mismas tonalidades en Instagram.",,"Hace 2 meses: Pilates… no es siempre los mismos ejercicios en el reformer! Y eso lo entendí con tus maravillosas clases Clau! En breve retomo. Hace 3 meses: Las mejores clases de pilates de Villa del parque !!! Destaco la excelencia de la profesora, el lugar es hermoso , súper recomendable !!!",-,"TRX, Reformer, equilibrio, bandas, pilates en circuito, pilates para embarazadas,","De lunes a viernes de 8 a. m.–9 p. m. sábado, 8 a. m.–1 p. m.",,Google maps Instagram,19-07-25,Desde mayo 2019. Mensajes ingeniosos e informativos en las redes,
Ganesha pilates,"Cuenca 3163, C1417 Cdad. Autónoma de Buenos Aires (Calle 850 N° 225, San Francisco Solano 1881)",Villa del Parque,1139010879,,https://www.facebook.com/ganesha.pilates.3/,,"4,7x14",,-,Básico. Mucho TRX (suspensión Training),,"3 semanas atrás: Excelentes profes, muy profesionales. Las clases son completas, entretenidas y van variando los ejercicios constantemente. Siempre aprendés algo nuevo y salís sintiéndote mejor de lo que entrás. Gracias",-,Bungee workout. Suspensión training. Pilates Reformer. Complemento con Maquinas.Exclusivo mujeres.,"De Lunes a viernes de 8 a. m.–12 a. m. sábado, 9 a. m.–1 p. m.",,,"Google maps, IG",19-07-25,
Calupi Estudio,"Baigorria 3765, C1417 Cdad. Autónoma de Buenos Aires",Villa del parque,1123553293,,https://www.instagram.com/calupi.estudio/#,,"5,0x57",,-,"Colorido Instagram. Studio con diseño básico, combina gris (pelotas) , negro box y luces rosas-malvas.",,"Hace 3 meses: El mejor lugar para hacer pilates en CABA. Llevo ya 3 años yendo, las profes son súper cuidadosas con vos, de que hagas la técnica bien para evitar lesiones. Hace un mes: Calupi es EL lugar. Después de buscar mucho un lugar para moverme, encontré un estudio donde no solo logré ser constante, sino que también vi resultados reales.","En Calupi Estudio, rompemos todos esos mitos y te mostramos lo que es el PILATES para nosotras Con elementos,variantes funcionales,combinaciones de técnicas, clases más intensas e integrales” Instagram. “Esto NO es el pilates clásico que te aburre.  Es PILATES POWER: más fuerza, más intensidad, más integral. Si querés entrenar en serio, sentir tu cuerpo fuerte y ver resultados",Pilates para embarazadas,"De lunes a viernes de 9 a. m.–1 p. m., 4–9 p. m. Sábado, 10 a. m.–1 p. m.",,,"Google maps, Ig",19-07-25,Desde Diciembre de 2021.
PILATES AROHA VILLA DEL PARQUE,"Argerich 3023, C1417 Cdad. Autónoma de Buenos Aires",Villa del Parque,1144481880,estudioaroha@gmail.com,https://www.instagram.com/pilatesaroha/?hl=es-la#,3521,,,,Combinación de grises (pelotas) y negro.,,,"Aroha es un estudio de pilates donde las clases se adaptan al alumno brindandole bienestar físico y metal. Practicar el método pilates logra en el cuerpo mejorar la postura, la flexibilidad, tonicidad, elongacion, concentracion y equilibrio.",,"De Lunes a viernes de 8 a. m.–9 p. m. Sábado, 8 a. m.–1 p. m. Horarios Aroha – Villa del Parque & Núñez De lunes a viernes: 08.00 a 14.00 hs 15.00 a 21.00 hs",,"Google maps, face, Ig",19-07-25,"Pilates Reformer sedes: Núñez (Núñez 2396), Villa del Parque(Argerich 3023), Since 2021",
Danez Pilates & Funcional,"Sede: Cuenca 2118, sede: Campana 1644, 1417 Buenos Aires",Villa del Parque,115146355,danezpilates@gmail.com,https://www.instagram.com/daneztraining/?hl=es#,7537,"5,0x 392",,-,"Básico, estudio con paredes color azul, pelotas, pesas",,"Hace 4 meses: Excelente. He ido por tandas, no de manera frecuente por temas personales. Siempre me reciben de 10. Cada una de las profes tiene su estilo y está bueno probar con todas. El espacio es seguro y confortable. Recomiendo. Hace 4 meses: Empecé hace 3 meses por recomendación médica y llegué allí por mi hija que va hace 2 años. No me pierdo una sola clase. Las profes son súper profesionales y dedicadas con cada uno, el ambiente es muy ameno y cuidado. Súper recomendable.",-,"Pilates funcional, training con pesas, mancuernas…",,,"Google maps, IG",20-07-25,Desde marzo de 2016. Tiene dos sedesg,
Casa Dynamo Pilates,"Juan Agustín García 2400, C1416 Cdad. Autónoma de Buenos Aires",Villa Del Parque,1169575466,,https://www.instagram.com/casadynamopilates/#,2470,"5,0x14",,-,"Estudio básico, pelotas de colores",,"Una semana atrás nuevos: Los profes están atentos a los detalles en las clases. Se nota que saben lo que están haciendo y la calidez y buena onda con que se entrena hacen que se pueda sostener la actividad con entusiasmo. Busque en otros estudios de pilates pero volví a Casa Dynamo. Para mí son los mejores! una semana atrás Asisto al espacio desde el mes de abril y fue un antes y un después. Las clases con seba son super dinámicas, claras. Aprendí mucho sobre anatomía, posturas, balance de fuerzas y música! El lugar tiene una magia propia, los elementos de buena calidad y un clima hermoso.",-,Pilates circuito,"De Lunes a viernes, 9 a. m.–9 p. m.",-,"Google maps, IG",20-07-25,"Abrieron diciembre de 2014.Ofrecen un instructorado y cursos: ¡Comienza el Instructorado!Estas a tiempo de sumarte.Es una formación completa, teórica y práctica. Está dividida en módulos, por niveles y equipos.Podes deslizar las imágenes y ver todas las fechas .Es presencial y el cupo es limitado",
Pilates Más Actividad sucursal Villa del Parque,"Comuna 11, Av. Nazca 2396, C1416 Cdad. Autónoma de Buenos Aires",Villa del Parque,1156561544,,https://www.instagram.com/pilatesmasactividad/?hl=es#,1795,"5,0x82",,-,"Básico, colorido",,"Hace un mes: Excelente centro de pilates. Los dueños un 10. Y las profes excelentes todas. Se preocupan mucho por las afecciones o dolencias de cada uno y cuidan mucho que nadie se lastime, algo muy importante para mí. También está súper limpio y prolijo, lo que da mucha tranquilidad, las máquinas las mantienen siempre en excelente estado. Todo un 100 para mí",-,Ofrecen Cursos y Workshops!!,"De lunes a viernes, 8 a. m.–9 p. m. sábado, 9 a. m.–9 p. m.",,"Google maps, IG",20-07-25,Abrieron julio de 2022. Pilates Más Actividad. Sucursal Villa del parque 1156561544 Sucursal Recoleta 1123474694 Marcelo Torcuato 1381 PilatesMasActividad: Pilates reformer Cursos,
Flow Pilates Estudio,"Empedrado 2449, C1417 Cdad. Autónoma de Buenos Aires",Agranomía,1150084294,,https://www.instagram.com/pilatesflowestudio/#,577,"5,2x42",,-,"Paleta de azul turquesa en Instagram,  pequeño estudio es departamento. Dos reformer (no de manera),",,"Una semana atrás: El estudio de Eve es una experiencia transformadora con una profesora que es, sin duda, una genia. Desde el primer momento en que entras a su clase de Pilates no solo domina la técnica, sino que tiene un don único para transmitirla. Su conocimiento anatómico es impresionante, y cada corrección que hace es precisa y personalizada, adaptándose a las necesidades de cada alumno sin perder de vista el grupo. 2 semanas atrás: Las clases con Eve son increíbles !! La dedicación que le pone en cada clase y la buena energía en el estudio me encanta. Recomiendo mucho el espacio.","Studio de Pilates Auténtico Clases presenciales y onlinegrupales/privadas Agronomia, CABA",,De lunes a viernes de 8 a. m.–8 p. m.,,"Google maps, IG",20-07-25,La instructora – dueña es bailarina y cantante,
CONSCIOUS STUDIO PILATES,"Pedro Lozano 3082, C1417 Cdad. Autónoma de Buenos Aires",,1168025106,,https://www.instagram.com/conscious.studio.pilates/#,794,"5,0x2",,-,Básico,,,En Conscious no venís a “quemar” Venís a entender tu cuerpo.,,"De lunes a viernes 8 a. m.–9 p. m. sábado, 10 a. m.–1 p. m.",,"Google maps, IG",20-07-25,Desde abril de 2022,
Ambar Wellness -pilates,"Marcos Sastre 2819, C1417 Cdad. Autónoma de Buenos Aires",Villa del Parque,1158585540,,https://www.instagram.com/ambar.wellness?igsh=MXE0cXdxeGM3cWNsOA,1852,"4,9x40",,-,"Básico. En Instagram paleta de colores pastel gris, verde, marrón, rosa.",,"Hace 2 meses: Me encantan las clases de pilates. Excelente atención por parte de todas las docentes, atendiendo las necesidades de cada alumno y respetando sus tiempos. Espacio amplio, cómodo y luminoso. Hace 2 meses Excelente lugar para hacer pilates! Mucha calidez y profesionalismo por parte de todas las profesoras. Recomiendo",-,"Pilates, yoga y estética","De Lunes a viernes de 8 a. m.–8 p. m. Sábado, 8 a. m.–12 p. m.",-,"Google maps, IG",20-07-25,,
NETO PILATES,"C. Dr. Pedro I. Rivera 5756, C1431FCT Cdad. Autónoma de Buenos Aires",Villa Urquiza,1131131235,,https://www.instagram.com/netopilates/#,2550,"5,0x27",,-,"Studio básico. Instagram Colores pastel: rosa, verde, piel, azul claro.",,"Soy bailarina y vengo acá a entrenar mi flexibilidad, fuerza!.Esta atenta a cada alumno. Amo sus clases y me han sumado a mi baile desde el primer día!",Te invitamos a conectar con tu bienestar a través del Circuito Pilates Clases personalizadas en grupos reducidos,"Cadillar vertical, sprinboard",De Lunes a viernes de 7:30 a. m.–9:30 p. m.,,"Google maps, IG",20-07-25,"Conexiones con el baile, bailarinas y profes, no son local a la calle.. abrieron en 2024.",
LA DONATA PILATES,"Av. Olazábal 5559 7, C1430 Cdad. Autónoma de Buenos Aires",Villa Urquiza,1137861599,,https://www.instagram.com/ladonatapilates/#,547,"5,0x47",,-,"Básico, tonalidades grises, pelotas, cintas rosas,",,"Desde que comencé mis clases en el centro noté los cambios el primer día. Las profes son lo más, especialistas que saben lo que hacen y te acompañan en el proceso hacia tus resultados dándote seguimiento constante y personalizado. Un lugar hermoso y muy cálido, ideal para desconectar y reconectar con una misma. Las clases de Gigi son excelentes: súper claras, personalizadas y siempre con buena energía.",-,,"De lunes a viernes 7 a. m.–10 p. m. Sábado, 9 a. m.–1 p. m.",,"Google maps, IG",20-07-25,,
Pilates Mahara,"Echeverría 5131, C1431 Cdad. Autónoma de Buenos Aires",Villa Urquiza,1170587666,,https://www.instagram.com/pilatesmahara/#,2048,"4,6x22",,-,"Tonalidades grises y azules, pelotas, deslizantes blancos y rosas, pared malva.",,"Hace 4 meses: Un desastre. Me lastime en una clase estando guiada por una principiante, dónde nos dió posturas de yoga avanzadas. Hermoso y confortable espacio con horarios flexibles y posibilidad de hacer cambios. Profesoras excelentes y atentas a todo. La dueña un encanto.",-,,"Lunes y miércoles de 8 a. m.–12 p. m., 4–9 p. m. martes, jueves y viernes de , 8 a. m.–12 p. m., 5–9 p. m.",,"Google maps, IG",20-07-25,,
Studio Smile Pilates,"Juramento 4948, C1431CKJ C1431CKJ, Cdad. Autónoma de Buenos Aires",Villa Urquiza,1128601196,,https://www.instagram.com/studiosmilepilates/#,1399,"4,6x10",,Studio Moderna,"Estudio grande diseño paleta: bordeau y azul en paredes, y rosa claro. Pelotas grises, pared de madera, otra con un dibujo de hojas… Atractivo. Piso ajedrez. Local a la calle.",Siguefit,"Hace 7 meses: Excelente atención desde el primer día. Fui a una clase de prueba y me enamoré de pilates, del lugar, de la calidez y la atención tanto de las dueñas como de las profes. Son un amor total. Hace 7 meses: Es el mejor lugar de pilates que tiene el barrio. Las profesoras son muy buenas todas. Las camas están impecables y el lugar siempre limpio con olor hermoso y tiene una energía que te invita a quedarte y querer volver a seguir practicando. Las dos encargadas están siempre para resolver lo que se necesite con la mejor predisposición!",-,,"lunes, 8 a. m.–9 p. m. martes, 8 a. m.–1 p. m., 4–9 p. m. miércoles, 8 a. m.–1 p. m., 3–9 p. m. jueves, 8 a. m.–9 p. m. viernes, 8 a. m.–1 p. m., 4–9 p. m. sábado, 9 a. m.–1 p. m.",,"Google maps, IG",20-07-25,,
Cuore pilates,"Mendoza 4900 Piso 1, C1431 CIH, Cdad. Autónoma de Buenos Aires",Villa Urquiza,111559262280,,https://www.instagram.com/cuore_pilates/?hl=es#,1415,"4,0x26",https://www.cuorepilates.com.a,MB,"En Instagram color verde, el local con paredes verdes y blanco, básico, pelotas azules y rojas,",,"Mi mamá fue a una clase de prueba con el mismo señor del que ya vi comentarios negativos… y la verdad, todo cierto: fue maleducado, impaciente y sin el menor tacto (y con una señora de 73 años… tenes que ser forro para tratar mal a alguien grande eh). Y eso que era una clase de prueba… mínimo un poco de amabilidad, no? Lo más llamativo es que la chica que atiende por whatsapp es un amor, todo lo contrario”. “Hace 7 días Nueva La clase muy buena, EL PROFESOR que me toco me hizo BULLING. La clase como digo es muy buena, pero el profesor todo el desarrollo de la clase me hacia comentarios como ""La van a tener que bajar con una soga o Sofia esta te esta mirando y te salen mal los ejercicios"" La verdad no me sentí cómoda en toda la clase.” “Intentando comunicarme durante días: por WhatsApp, tocando timbre y nadie bajó, hablando en 2 oportunidades con las alumnas paradas en la calle. Me respondieron un domingo al mediodía, cualquier cosa, sin haber leído lo que escribí”.","Cuore Pilates nació en el centro de Villa Urquiza en Septiembre de 2009, impulsado por nuestros deseos de crear un centro de pilates distinto. El concepto principal que perseguimos es brindar un espacio sereno y confortable para nuestros alumnos, acompañado de una atención personalizada y cordial. Bajo estos preceptos creamos Cuore Pilates, un espacio dedicado exclusivamente al bienestar del cuerpo y la mente.",,"Lunes a viernes, 8 a. m.–12 p. m., 3–9 p. m. sábado, 9 a. m.–1 p. m.",,"Google maps, IG",20-07-25,,
